,index,counts
409,2019-08-19T12:01:26Z,0
410,2019-08-16T15:13:15Z,0
411,2019-08-04T07:33:57Z,0
412,2019-07-26T01:58:27Z,0
413,2019-07-14T19:48:38Z,1
414,2019-06-27T15:44:18Z,0
415,2019-05-29T18:31:20Z,0
416,2019-05-25T03:43:48Z,0
417,2019-05-18T23:23:03Z,0
418,2019-05-10T17:55:28Z,0
419,2019-04-26T10:28:15Z,0
420,2019-04-15T03:22:02Z,0
421,2019-04-14T01:47:43Z,0
422,2019-04-09T14:15:32Z,0
423,2019-03-14T12:51:20Z,0
424,2019-02-13T05:58:33Z,0
425,2019-02-13T02:22:16Z,0
426,2019-02-03T23:41:55Z,0
427,2019-01-20T20:20:20Z,0
428,2019-01-14T22:42:47Z,0
429,2018-12-20T00:09:48Z,0
430,2018-12-11T18:07:22Z,2
431,2018-12-08T13:13:28Z,2
432,2018-12-07T07:30:43Z,1
433,2018-11-26T17:50:22Z,1
434,2018-11-23T16:23:37Z,1
435,2018-11-13T14:45:25Z,2
436,2018-10-22T01:02:47Z,1
437,2018-10-17T03:43:02Z,1
438,2018-10-16T01:53:23Z,3
439,2018-09-25T14:26:28Z,0
440,2018-09-23T04:56:21Z,1
441,2018-09-18T19:42:09Z,0
442,2018-09-15T06:29:46Z,1
443,2018-09-14T16:58:10Z,3
444,2018-08-26T10:50:23Z,0
445,2018-08-02T07:34:47Z,0
446,2018-07-18T04:15:52Z,0
447,2018-07-14T07:57:31Z,0
448,2023-12-13T02:22:18Z,0
449,2023-11-27T01:31:12Z,0
450,2023-10-29T16:24:09Z,0
451,2023-10-27T02:10:47Z,0
452,2023-10-26T06:10:34Z,0
453,2023-10-01T06:23:54Z,0
454,2023-09-27T14:57:05Z,0
455,2023-09-19T23:16:23Z,0
456,2023-09-01T21:41:02Z,0
457,2023-09-01T18:10:38Z,0
458,2023-08-31T02:04:36Z,0
459,2023-08-25T04:34:28Z,0
460,2023-08-19T01:58:41Z,0
461,2023-08-17T21:46:09Z,0
462,2023-08-17T20:07:47Z,0
463,2023-08-13T04:39:08Z,1
464,2023-08-09T22:38:36Z,0
465,2023-08-07T00:16:55Z,1
466,2023-08-03T15:38:35Z,0
467,2023-08-02T17:55:26Z,0
468,2023-07-29T22:20:14Z,0
469,2023-07-29T18:15:43Z,0
470,2023-07-18T01:09:05Z,0
471,2023-07-14T04:03:47Z,0
472,2023-07-04T16:09:00Z,0
473,2023-06-30T05:15:11Z,0
474,2023-06-13T22:03:24Z,0
475,2023-06-13T14:35:29Z,0
476,2023-05-18T01:14:11Z,0
477,2023-05-17T22:52:08Z,0
478,2023-05-07T01:41:28Z,0
479,2023-05-06T17:51:44Z,1
480,2023-05-03T01:31:34Z,1
481,2023-04-29T01:51:14Z,0
482,2023-04-15T12:56:12Z,1
483,2023-04-08T00:56:22Z,0
484,2023-03-18T01:45:08Z,0
485,2023-02-24T18:26:27Z,0
486,2023-02-21T00:29:00Z,1
487,2023-02-19T18:50:45Z,0
488,2023-02-04T23:00:47Z,0
489,2023-01-19T12:08:36Z,0
490,2023-01-05T18:13:55Z,0
491,2022-12-28T16:40:33Z,0
492,2022-12-19T13:18:22Z,1
493,2022-12-18T02:22:52Z,0
494,2022-12-16T17:12:17Z,0
495,2022-11-26T18:37:14Z,0
496,2022-11-17T12:12:13Z,0
497,2022-11-15T01:55:09Z,0
498,2022-11-14T07:40:04Z,0
499,2022-11-14T05:30:45Z,0
500,2022-11-14T02:06:53Z,0
501,2022-11-13T18:25:20Z,0
502,2022-11-12T00:50:06Z,0
503,2022-11-12T00:25:05Z,0
504,2022-11-10T11:07:05Z,0
505,2022-11-10T07:41:29Z,0
506,2022-11-10T02:23:53Z,1
507,2022-11-10T00:58:15Z,0
508,2022-11-09T23:41:21Z,0
509,2022-11-09T19:11:26Z,2
510,2022-11-09T14:58:10Z,1
511,2022-11-08T01:41:17Z,8
512,2022-11-08T01:33:13Z,0
513,2022-11-07T20:38:58Z,0
514,2022-11-07T00:08:32Z,0
515,2022-11-06T16:41:09Z,1
516,2022-11-06T00:35:36Z,0
517,2022-11-05T18:58:11Z,0
518,2022-11-05T10:36:44Z,0
519,2022-11-04T15:37:55Z,0
520,2022-11-04T13:55:32Z,0
521,2022-11-02T22:11:04Z,0
522,2022-11-02T14:37:32Z,0
523,2022-11-02T02:36:30Z,0
524,2022-11-02T02:19:09Z,0
525,2022-11-02T01:17:37Z,0
526,2022-11-01T17:17:32Z,0
527,2022-11-01T09:13:14Z,0
528,2022-11-01T03:33:34Z,0
529,2022-11-01T02:29:19Z,0
530,2022-10-31T15:19:30Z,0
531,2022-10-29T14:59:22Z,0
532,2022-10-23T06:02:45Z,0
533,2022-10-22T22:51:51Z,0
534,2022-10-11T13:26:06Z,0
535,2022-10-09T07:12:28Z,0
536,2022-10-07T22:05:13Z,1
537,2022-10-07T01:58:30Z,2
538,2022-10-06T12:44:18Z,0
539,2022-10-06T07:15:46Z,0
540,2022-10-06T05:37:58Z,0
541,2022-10-06T01:12:29Z,0
542,2022-10-05T22:41:56Z,0
543,2022-10-05T20:45:46Z,0
544,2022-10-05T18:38:15Z,0
545,2022-10-05T03:20:12Z,0
546,2022-10-04T21:33:53Z,0
547,2022-10-04T15:40:08Z,0
548,2023-09-02T03:52:59Z,752
549,2023-12-13T23:51:48Z,0
550,2023-12-13T21:02:31Z,0
551,2023-12-13T18:07:59Z,1
552,2023-12-13T17:08:24Z,0
553,2023-12-13T04:47:22Z,0
554,2023-12-11T13:33:46Z,1
555,2023-12-11T13:05:01Z,0
556,2023-12-11T03:43:51Z,0
557,2023-12-10T12:16:22Z,0
558,2023-12-09T14:49:35Z,0
559,2023-12-09T11:00:12Z,0
560,2023-12-09T01:37:09Z,0
561,2023-12-07T19:34:55Z,0
562,2023-12-07T19:03:45Z,0
563,2023-12-06T07:28:24Z,0
564,2023-12-05T13:35:28Z,0
565,2023-12-05T01:51:04Z,0
566,2023-12-04T01:16:20Z,0
567,2023-12-03T16:17:11Z,0
568,2023-12-02T18:31:09Z,0
569,2023-11-30T21:30:50Z,0
570,2023-11-30T17:06:31Z,0
571,2023-11-29T15:03:05Z,0
572,2023-11-29T02:39:47Z,0
573,2023-11-29T01:28:08Z,0
574,2023-11-28T23:20:06Z,0
575,2023-11-28T14:58:31Z,0
576,2023-11-28T10:09:23Z,0
577,2023-11-28T08:22:42Z,0
578,2023-11-28T03:36:42Z,0
579,2023-11-28T00:22:57Z,0
580,2023-11-27T22:06:33Z,0
581,2023-11-27T14:43:55Z,1
582,2023-11-27T13:04:08Z,0
583,2023-11-27T11:28:43Z,0
584,2023-11-27T03:17:24Z,0
585,2023-11-27T00:04:33Z,0
586,2023-11-26T16:03:36Z,0
587,2023-11-26T05:40:56Z,0
588,2023-11-25T10:54:41Z,0
589,2023-11-25T09:08:15Z,0
590,2023-11-24T19:12:30Z,1
591,2023-11-24T16:42:14Z,0
592,2023-11-24T08:05:36Z,0
593,2023-11-24T04:29:23Z,0
594,2023-11-24T02:04:25Z,0
595,2023-11-24T00:06:22Z,0
596,2023-11-23T09:14:50Z,0
597,2023-11-23T02:48:41Z,0
598,2023-11-22T10:47:08Z,0
599,2023-11-21T18:50:30Z,0
600,2023-11-21T15:29:46Z,0
601,2023-11-21T02:33:14Z,0
602,2023-11-20T16:56:42Z,1
603,2023-11-20T12:32:58Z,1
604,2023-11-20T11:07:02Z,0
605,2023-11-19T20:05:14Z,0
606,2023-11-19T18:55:57Z,0
607,2023-11-19T16:18:02Z,1
608,2023-11-19T14:46:14Z,0
609,2023-11-19T11:24:09Z,0
610,2023-11-18T19:44:04Z,0
611,2023-11-18T17:39:49Z,0
612,2023-11-18T15:48:43Z,0
613,2023-11-18T15:37:16Z,0
614,2023-11-18T02:02:39Z,0
615,2023-11-17T00:00:50Z,0
616,2023-11-16T11:55:05Z,0
617,2023-11-16T03:21:02Z,0
618,2023-11-15T20:52:19Z,1
619,2023-11-15T12:04:04Z,0
620,2023-11-14T11:31:28Z,0
621,2023-11-14T10:11:09Z,0
622,2023-11-14T05:16:35Z,0
623,2023-11-13T20:11:22Z,0
624,2023-11-11T20:58:35Z,0
625,2023-11-11T16:43:00Z,0
626,2023-11-11T14:11:20Z,0
627,2023-11-11T02:57:15Z,0
628,2023-11-10T23:10:49Z,0
629,2023-11-10T11:08:36Z,0
630,2023-11-10T07:24:48Z,0
631,2023-11-10T07:24:35Z,0
632,2023-11-10T04:55:54Z,0
633,2023-11-10T04:26:38Z,0
634,2023-11-09T20:43:06Z,0
635,2023-11-09T19:20:31Z,0
636,2023-11-09T18:38:55Z,0
637,2023-11-09T12:11:12Z,0
638,2023-11-08T07:03:36Z,0
639,2023-11-07T21:57:23Z,0
640,2023-11-07T02:05:49Z,0
641,2023-11-07T02:05:29Z,0
642,2023-11-06T06:05:34Z,0
643,2023-11-06T05:41:32Z,0
644,2023-11-06T00:50:54Z,0
645,2023-11-04T16:55:20Z,0
646,2023-11-04T14:57:01Z,0
647,2023-11-04T14:56:54Z,0
648,2023-12-13T16:52:00Z,0
649,2023-12-13T15:05:01Z,0
